painting,domi_emotion,utterance_combined
albrecht-durer_christ-appears-to-his-mother-1511,awe,Praying to god and he hears.The god give his grace to the person.The mix of lines showing a halo vs the ragged clothes is beneficent.I feel in awe as jesus is blessing the women it warms my heart.The sunburst around the man's head makes me think that this scene is from the bible.
albrecht-durer_christ-being-nailed-to-the-cross-1511,sadness,Feels sad because this looks like bible story about crucified jesus.Sad that my lord and savior is being nailed to a cross.The crucifixion scene makes me feel sad because i think it is a tragedy.
albrecht-durer_dead-bluebird-1512,sadness,"The poor bird looks dead, which makes me feel sad.The bird is beautiful but there is so much sadness in the fact that it is dead.The bird appears to be dead and there's nothing else in the painting as if it's purely trying to illustrate death. this makes me sad."
albrecht-durer_deposition-engraved-passion-1512,sadness,The gray and black tones mixed with the body being put into a grave give the scene an immense sadness.The man appears to have been lost and the sad expression of the others makes me feel he was loved.The corpse is being laid to eternal rest in a coffin.
albrecht-durer_design-for-all-saints-picture,awe,This is a religious image of the crucifixion and is supposed to inspire the faithful.The level of detail in this piece is astounding; you can see all the people in it.This painting feels like a statue with people praying to god for help!
albrecht-durer_frederick-the-wise-elector-of-saxony-1524,disgust,"This man's beard looks like it's made of earthworms.A portrait of an old fat man with long beard and furry clothes, he looks grumpy and the background is gray.This man has disgust in his thoughts while looking sideways with raised eyebrows and pouting lips!"
albrecht-durer_madonna-nursing-1519,awe,The details are so amazin the whole thing looks real.The shimmering sparkles around the mother and child make me think about the beauty of parenthood.The glowing light surrounding the mother and childs heads is awe inspiring.
albrecht-durer_study-sheet-with-christ-as-man-of-sorrows-and-a-garment-study,sadness,"The man seems somewhat tormented by the cage on top of their head. i am intrigued by the detail of their above and lack of detail below.His face is full of sadness and despair, like he is calling someone for help.Even though he was persecuted he still gave his life for all."
albrecht-durer_sudarium-spread-out-by-an-angel-1516,excitement,"The angels look like they are interacting with each other and taking part in a larger story, and it makes me want to know more about the story surrounding the picture.Looks like an epic battle. intricate and exciting.  makes me feel as though i want to know the story behind it.It looks like an angel is trying to fix something in the sky."
albrecht-durer_the-cathedral-of-aix-la-chapelle-with-its-surroundings-seen-from-the-coronation-hall-1520,awe,"I'm impressed by the impressive detail that the artist sketched in, especially the fine lines for the rooftops.An elaborate detailed sketch of a city looks like building plans for new development.The details of the the buildings are made with precision."
albrecht-durer_the-dresden-altarpiece-central-panel-1496,sadness,"The muted colors make this art feel very solemn. the subject matter is also sad feeling. it appears as though she is praying over a sick baby.The baby has the head of a man and its mother is already praying for the baby's health.The somber colors (maybe an underpainting?) and worried look on the woman's face make me feel that something is wrong. is the baby dead? the angels are bringing a crown, but they look sinister to me.i don't trust them."
albrecht-durer_the-great-triumphal-car-1519,awe,"The detail is incredible. despite having no colours, everything is very unique from eachother.Amazing detail and depth of the characters is awesome.Amazing skill showcasing the original wonka mobile.The royal family is being taken to the royal ball down the street."
albrecht-durer_the-harrowing-of-hell-or-christ-in-limbo-from-the-large-passion-1510,fear,"It looks like someone will be crucified in this image and that is a scary thought for that person.This looks like people are naked, and it would appear that there are very questionable things going on here. there are lions as well.It looks like all the people in the painting are suffering at least some.There seems to be a lot of pent up anguish in this artwork, for example, the sharp light coming from the man's head and the demonic creatures jeering from above.This pictures shows fear as it takes on others."
albrecht-durer_the-virgin-and-child-with-st-anne,amusement,"The expression on the people's faces makes me amused.The woman on the left is wearing a garment around her head and chin and it accents her bright white eyes.The woman wearing the white has some really funny, buggy looking eyeballs and i cannot help but laugh when i look at her.The white head garment on the woman makes her look like she has a huge head and a tiny face."
albrecht-durer_title-page-to-the-second-latin-edition-of-1511-1498,awe,"A holy aura surrounds the mother and child.Most religious paintings with jesus and his mother are always awe-inspiring, especially medieval paintings.The woman and her baby are radiating light, suggesting they are protected by god.The mother and her child are holy, since they are beaming with divine light."
dirk-bouts_martyrdom-of-st-erasmus-central-panel,disgust,"This man has a heavy red gash in his stomach, so he will soon bleed to death.The juxtaposition of torture, the idle cruelty of the man watching it, and the background of an ideal beautiful landscape. the rich clothing and posture of the main standing figure reinforce the impression.There is some kind of torture occurring here it seems. they are doing something to the man's body that might hurt him."
dirk-bouts_the-capture-of-christ,fear,The sky is dark and cloudy and the man in the foreground looks frightened that he will be struck with something.I can't tell what people are pushing him toward in that makes me anxious.Off to battle and coming back from battle mourning jesus and soldiers.There are many weapons being held by the men and it looks as if the man in the red cloak is about to strike the man in yellow who looks afraid.
dirk-bouts_the-middle-panel-of-the-pearl-of-brabant-adoration-of-the-magi,something else,"Its a old oil made around the 1500s. a very repetitive style during those times and important to notice to depict christianity.Thread is striking and draws the eye end but the focus of the image is the little baby.I am confused as to what is taking place in this picture, it seems like some sort of religious ceremony. although the artwork is nice and rich, i wouldn't buy it due to the fact that i am not sure which religion it's based on."
gerard-david_virgin-and-child-with-four-angels,awe,"Two angels are placing a crown on a woman's head, which makes the scene seem regal.The red garments help highlight the virgin mary as a figure of central importance.The concept of gurdian angels coming alive in the picture where mother is taking care of her newborn aware of the surroundings."
hans-baldung_harmony-or-the-three-graces-1543,amusement,I love how the girl in the middle is posed. she kind of reminds me of the naughty popular girls in school who think they're hot stuff but they're really not.I see this picture and wonder what happened to unclothe so many people all in the same area. there has to be a story.The individuals seem quite intrigued by the situation that is unfolding around them. the number of naked people is quite funny.
hans-baldung_hercules-and-antaeus-1531,disgust,The man appears like he is bent on harming the man quite terribly.The way the man in the mask is holding the other man looks like a scene in a horror movie. it's very disturbing.The appearance of what is transpiring appears violent and almost rape-like.
hans-holbein-the-younger_outgoing-ship,excitement,"The men look like they are working very hard on some choppy water, it doesn't look very dangerous since there is a dingy in the water.The boat seems quite at capacity and the sailors all seem to be clamoring for adventure.The boat is packed with people who are sailing away on an adventure."
hans-holbein-the-younger_portrait-of-robert-cheseman-1533,awe,"I am amazed at the detail and realism of this painting, the face is in great proportions and angles and the bird looks so lifelike.The picture is very detailed and crisp. i think the falcon is symbolic of that the man has a dark motive abouts him.The hawk looks regal and majestic since it's so big.The bird that this man is holding is very majestic looking, yet scary at the same time. i can't believe people used to have this type of bird as a pet!"
hans-memling_triptych-of-jan-floreins-1479,awe,"The artist is very good at recreating an image of bored people it looks very real.The dimensional frames look as if this picture could be closed up.Beautiful colors and content, makes me just want to stare at it to find all the details."
hieronymus-bosch_temptation-of-st-anthony-1,amusement,"There are flying fish and human deer. someone is crawling underneath the hill and looking at it all. there is a spire on top of the fish vehichle.Boats and fish are flying through the air, which is totally nonsensical.It's a whimsical painting. i'm unsure of what to think other than amusement- boats and fish in the sky."
hieronymus-bosch_the-garden-of-earthly-delights-1516-8,amusement,I feel the red apples signify a challenge or game.That is a lot of bros that like to ride the white pony.It's funny that all of the people are riding the animals without any clothes on.
hieronymus-bosch_the-garden-of-earthly-delights-4,awe,"Makes me think of futuristic sci-fi, which makes me wonder what the distant future will be like.It's hard to decipher what is depicted in this painting, however, it is a very stunning piece.The painting looks like a town is placed inside a globe.The world as depicted through a glass globe or a paperweight seems rather spectacular.This scene looks mystical since there are clouds of white hanging beneath the glass."
hugo-van-der-goes_portinari-triptych-detail-1478-4,something else,"This portrait of a man's face which captures details of the man's bowl-cut hair and red collar is not enough to capture the interest of the viewer.It doesn't really evoke anything from me, it just seems too much like a head floating in the middle of space.I'm not getting much in the way of emotion on this one. he seems pretty stoic."
hugo-van-der-goes_the-portinari-altarpiece-st-thomas-and-st-anthony-the-hermit-with-tommaso-portinari-and-two-1478,awe,The man with the red and green dress looks imposing with his staff.A golden holy ring surrounds the man's head.The great colors and darkness seems to haunt my soul.The man stands tall and confidently with his green robe.
jan-van-eyck_the-annunciation,awe,I am in awe looking at this important moment in the birth of jesus.The contrast of the simple facial expressions with the detailed clothing make it an elegant picture and awesome to study.The size of the interior makes me feel this way.The angel is wearing an incredibly elaborate robe.
jan-van-eyck_the-annunciation-1440,awe,"The angel looks rather holy with his wings and large stature.The detail of the sculpture, the folds of the robe, the wing feathers, the hair, is incredible.The wings on the statue give a sense that the statue is an angel who is standing there watching out to protect all.Angels remind me of my father in heaven."
jan-van-eyck_the-ghent-altarpiece-1432,awe,Looks like a ceremony is about to take place and royals are watching.The colors beautifully fit together and the panels perfectly depict daily life of the era.This is a very structured painting meant to inspire awe in christians.
jan-van-hemessen_the-lamentation-of-christ,sadness,"The sad nature of the peoples emotions reminds me of death.The vulnerability of the semi-naked man appears as if he is in pain or possibly dead due to the pain shown on the people's faces sitting around him.The pain of a mother,a friend and others when they are helpless and have to see their beloved in pain.This is one of the saddest single moments in religious mythology."
jean-fouquet_battle-of-jericho,excitement,"The houses in the background are muted, but the people in the foreground are brightly covered and seem to be celebrating something with musical instruments.The worshippers appear to be transferring a symbol of enormous importance, like the holy of holies, on a hillside.The bright colors and the instruments give a sense of fanfare."
jean-fouquet_coronation-of-lothair-1460,awe,The brilliant blue color behind the fleur-de-lis symbols is royal and stately.The depicted scene looks quite detailed and elaborate.The woman kneeling to the bishop makes for an awe-inspiring sight.
jean-fouquet_coronation-of-louis-the-pious-1460,awe,"The person on their knees is praying which has great religious significance.This scene looks royal and important, since only the king's highest-ranking men are gathered.These people know that prayer is the best form of protection they have.I love the contrast in this painting. there is two different sides which makes it really unique."
jean-fouquet_the-crucifixion-1460,sadness,"Jesus and his two compatriots are all dying on crosses.The roman soldiers dispassionately observe the horrific suffering of jesus and others by crucifixion.The prisoners are being mistreated by the wealthy. the rich have gowns with beautiful colouring to depict class.Crucifixion art where royals seem to mistreat the poor or criminals. the colouring is bright and encouraging but the art shows a tragic sadness.I am greatly saddened by the story told in this painting which is also an extremely beautiful piece of art.Jesus and two others are on the cross suffering while people watch and do nothing.I feel sad for the men being murdered on the crosses in this image.This is very sad - the three men are being crucified to death and it looks like the men at the bottom are fighting about it. the woman in blue at the lower left is very sad, almost despondent. the tones of blue are calming but this is not a calm scene.It is a sad scene for the crucifixion of christ here. even for non-believers, it feels sad.I'm not sure what  this thing is people have with seeing a religious icon suffer.  it just seems odd to me.  i don't like seeing people in pain.I feel sadness because there are three people being crucified in the painting. the use of blue also creates a feeling of sorrow as well as the people who are visibly upset in the painting itself below the three crosses.That which is just is not always right.These men look like they are being tortured and it makes me upset.As a non religous person i dont really care about this but the act of crusifixtion is pretty sad.Jesus is dying at the center cross, and other men are being hung beside him.People being tortured on a cross while others look on is sad.Three people crucified on the cross as  people are cheering on  its depressing.Even though the colors are brilliant and upbeat and the crucified seem resigned, the subject matter is nonetheless sad and remorseful.This crucific scene makes me sad and happy about the outcome.It's sad how these people are watching others getting put to death.The subject matter of the painting, christ on the cross, makes me feel sad because most people don't understand what it means.The poor people mourn the men stuck on the crosses.This painting shows jesus and other religious on the cross surrounded by people. it gives out a feeling of sadness.This is a detailed picture of the crucifixion.This picture represents the crucifixition of our lord and savior jesus christ. remembering this event is sombering.The raised crosses emphasizes the crucified men's humiliation.This is a powerful scene with jesus christ in the middle and a sinner on either side with soldiers and citizens mocking them and shaking spears at them in judgment. i'm sad that jesus was being punished, though he was completely innocent.This picture makes me feel a multitude of things hope and fear, and a lot of sadness, its a lot rolled into one.Even if it is religious it is sad to see people tortured to death.Crucifixion was a horrible way to kill someone. i believe this is the crucifixion of jesus and that story always makes me sad."
lucas-cranach-the-elder_portrait-of-geiler-von-kaiserberg,fear,Something about his face and black cloak seems dastardly.The dark colors and the man's facial features give this work a fearsome feel.I am threatened by the sinister look on the man's face.
lucas-cranach-the-elder_saint-christopher,awe,"The man is carrying a baby on his back, showing a sense of fatherly affection.The man is willing to fight through anything to protect his children.The man appears to be carrying a baby on his head to safety, which is heartwarming."
lucas-cranach-the-elder_salome-with-the-head-of-st-john-the-baptist,disgust,The head on the plate makes me feel disturbed.This proper looking woman looks please to deliver a man's head on the platter.A woman with curly hair holds a platter of a cut off head.The man's head is quite terrifying as it lays on the platter.
mabuse_portrait-of-hendrik-iii-count-of-nassau-breda,awe,The level of detail is impressive to me. it appears reminiscent of high-quality middle age paintings.The hair and the clothing is very detailed and bright.This is a incredibly detailed picture. from the shadows to the material of her  clothing. this is a very good painting.
martin-schongauer_altar-of-omgeving-1491,awe,"The read and green are nice with each other. one man seems to be trying to heal the others wounds.The man waving the staff looks like jesus since he has golden flowers coming out of his head.The man carrying the cross reminds me of jesus, since he has gold forming a halo around his head."
martin-schongauer_elephant-in-hortus-sanitatis,amusement,The elephant seems like he's having fun on the rock.The element can barely fit on the rock and is about to slip off.The baby elephant is standing on top of its mother.
rogier-van-der-weyden_entombment-of-christ-1450,sadness,"The figure that looks like jesus looks sick, frail, weak, or dead.It portrays the burial of jesus christ after he was crucified on the cross.The body of jesus abd the facial expression of the figures around him showed a great sense of sadness.All parties mournfully crowd around their beloved deceased."
rogier-van-der-weyden_triptych-of-st-eloi,sadness,"No one can do anything to save jesus from his impending death.The art for the masses to remind of constant suffering, death and doom.The bleak colors and the scene leave one filled with sadness and something lacking.There is a biblical feel to the image, it is bleak and filled with sadness."
georges-lemmen_the-two-sisters-1894,sadness,This photo makes me feel sad because both of the girls faces are sad and look upset.I feel sad for these girls made to dress so rediculously for this moment.Both of the girls in the picture look sad.
henri-edmond-cross_the-excursionists-1894,excitement,"The people look like they are on an outing.  the weather looks warm, the colours in the painting are bright.The movement, the bright colors, and the vast land in the distance.The woman's butt is curvaceous and provocative."
theo-van-rysselberghe_portrait-of-the-painter-s-uncle-1894,something else,Contemplating the next future vision.The man looks very smart and successful.This man looks like he is an austrian because of the handlebar mustache.
theo-van-rysselberghe_the-door-of-monsour-hay-in-meknes-morocco-1887,excitement,I can't wait to explore this interesting place.It looks like tiny little small dots everywhere.The colors are lighthearted and the brush stokes create a festive movement.
allan-d'arcangelo_constellation-1971-1,amusement,This creates an interesting illusion and changes with the angle you look at it.The different elements in this painting fit together in a strange and funny way.I like the way it makes you think like its a puzzle and you need to figure it out.
allan-d'arcangelo_mr-and-mrs-moby-dick,something else,This image makes me feel confused because i have no idea what it is.It looks industrial and really leaves me feeling just neutral. the whole doesn't move me at all. they could be two shipping containers that somebody will make into a tiny home.It makes me feel like i'm being watched because the objects resemble security cameras.
allan-d'arcangelo_untitled-1966,something else,"Makes me feel bewildered, my imagination can't figure this one out.A sense of unreality because the mix between the windows in black and the background a bit diffuse.The modern artwork of the tan colored monitor stands out and looks 3d with the black background."
andy-warhol_dollar-sign,excitement,"I see a lot of power in it.Obviously its like having money at home.The colorful edgy pop feel along with the bold font scream excitement.The blue background color is very bright, the dollar sign also makes me think of money."
andy-warhol_mao-5,disgust,"This made me think it was a person who has done bad things. the way the face is red makes me think that he is meant to be viewed as an angry human.Communism's bad.It's mao zedong, plus it looks like he has herpes on his face."
andy-warhol_marella-agnelli-1973,amusement,This woman's eyeshadow is outrageous! such a unique choice! looks kind of clownish though...Looks like a late 1960s housewife got into some drugs that psas of that time said were bad and decided to experiment with makeup.Colorful and simply dandy!
andy-warhol_self-portrait-1,something else,Feels intriguing. trying to decide exactly what is going on in the piece.Confused- this is a bright red blood color-  am i looking at 1 person? 2 people?  a man?  it is just too bright red for my taste and hurts my eyes.I'm not even sure what to say. but that is an awful lot of red.
audrey-flack_macarena-esperanza-1971,sadness,Seeing the woman's expression and her crying makes me upset.The woman in this painting is crying and it is very sad.Her tears appear very real.
billy-apple_big-mouth,disgust,"This isnt a painting it looks like its a broken piece of rock on a plate, and someone took a picture of it with a camera.The black and shape look like a petrifed slice of canteloupe.I think it is rotten cantaloupe. yikes."
burhan-dogancay_spain-face-21-1998,sadness,The picture shows a woman drowning  with sadness in her eyes.It seems the the person is trapped and broken.The woman is missing part of her face.
burhan-dogancay_stellaesque-1999,amusement,Feels like im back in the classroon.The scattered words and colors make it look fun.I like the colors and the 'street' aesthetic to the design.
claes-oldenburg_kn-ckebr-d-1966,something else,"A little unbalanced- ugly and very symetrical.I'm sure if there was a story behind this, there may be some explanation on how this is art. i like finding beauty in ordinary objects; however, i can't seem to figure out how this is art and that confusion makes me a bit irritated.Confused at the lack of color and context."
claudio-tozzi_papag-lia,excitement,"The colorful close up is very attractive to the eye.This is a cool photo. it looks like the painter took a ton of time with this work. the dots make it look textured.This excites me because i find birds to be fascinating and beautiful and i think the picture really captures the essence and soul of this bird. on top of that, the bright colors are just beautiful."
claudio-tozzi_papag-lia-colcha-de-retalhos,excitement,Keep seeing new things.The colors are bright and alluring.Reminds me of my favorite bird a macaw.
derek-boshier_plan-1-1972,something else,"It seems like this image was rejected from an old school vide game. the use of perspective is cool, but the overall effect is confusion.Confusing as i got lost looking at it.I feel confusion when i look at this painting because i'm not sure what the symbols mean when compared to the city in the background."
eduardo-paolozzi_meet-the-people-1948,amusement,"Lucille ball was hysterically funny and made me laugh. paired with minnie it is weird and funny at the same time.This is a nice, kitschy blend of pop culture.I like the old vintage characters and objects, very nostalgic.Lucille ball makes me smile as does minnie mouse. this is an odd mishmash of objects with them. love the bright colors."
gerard-fromanger_le-linceul-n-a-pas-de-poches-2002,something else,It's a clever way of making the figure stand out but you can't tell whether that's a good or bad thing.The circled man looks dangerous.I am confused at the man with the sunglasses and what he is waiting for or looking at.
gianfranco-baruchello_bagno-a-1977,something else,"This made me frustrated because i have no idea what is suppose to be or mean.Intrigued - thre is a story there, possibly architecture based, but it is appealing to figure it out.The sculpture makes me confused because i'm not sure what i am supposed to be looking at."
gianfranco-baruchello_je-donne-ma-langue-au-chat-2009,something else,I'm confused because this looks like a child's school project and i just don't know what's going on.One could stare for hours with curiosity about cat tongues.Interesting school project.
hiro-yamagata_96-atlanta-olympics-fencing,excitement,The brightness of the images makes this sport look fun.The movement usage portrays the excitement of the event.The subject of the painting is so unique and the cosmic feel is exciting and dynamic.The color scheme really makes the fencers jump off the painting.
hiro-yamagata_joan-d-arc,excitement,"Street parades are an exciting time and there are so many people to look at in the painting.Very intricate. even the buildings' multicolored bricks are carefully done. lots of people, vehicles, etc. to look at.The scene is colorful and shows people celebrating.It looks like a huge celebration with people staring out of their apartment windows admiring a parade passing by full of really nice cars."
hiro-yamagata_moulin-rouge-1977,excitement,"The bright colors, people dancing, and objects flying in the air make me want to join in the festivities.The town being filled with people makes be think a party is going to happen.There is a lot to look at in this artwork which makes it exciting.The bright colors and bustling streets evoke an exciting day in montmartre."
hiro-yamagata_normandies-1979,amusement,All the different colors and people make it into a playful painting.This is a joyous paiting.  a street fair with people having fun in their neighborhoos with sounds and crowds.A crowd cheers as vintage trucks are passing on the street.
hiro-yamagata_not-detected-272418,excitement,"The red of the sky contrasts well with the blue of the buildings, reminding me of sunset. the people moving and action on the stage look like a fun party.This business  and detail makes you wish you were there.This is a very vibrant painting and i love the pinks and orange used in the sky."
howard-finster_elvis-and-the-arpitaun-world-1980,amusement,The painting makes elvis look like a ventriloquist puppet.Elvis appears rather innedbriated with his eyes in different directions.Elvis looks like a cartoon character and his eyelashes look very unrealistic.The representation of elvis is amusing but the colors go nicely together.
howard-finster_leonardo-da-vinci-1991,amusement,"The notes at the bottom of the image make me curious about this piece.It's amusing because it looks somewhat clownish with the bright colors,and childish shapes.The childlike quality of the drawing in this painting is accessible and striking."
jim-dine_four-hearts-1969,excitement,The four hearts are surrounded by little jellybeans.The shades of red make me happy and different colors make it seem like a party.The bright reds and pinks of the hearts make me excited about love.
jose-de-guimaraes_untitled-2,amusement,The pattern and texture of the hair is fascinating.This is kind of fun painting like the image of a court jester.The yellow hand looks like it's picking the nose of the grey face.I like the blue collage towards the top.
leroy-neiman_hunt-field-1967,excitement,The traditional fox hunt with baying hounds and gentlemen on horses.They look like they are in the middle of a fox hunt.There are people running in the forest. there may be a race and the colors are exciting to look at.Men race through their polo match on the lush green grounds.
mario-schifano_tutte-stelle-particolare-dell-oasi-1967,awe,The stars above the tree look like fireworks.The white and yellow stars remind me of forth of july.The backdrop of stars behind/infront of the trees is facinating.
marjorie-strider_rosemarie-s-bag-1973,disgust,It looks like there is gooey blue slime coming out of the purse.This reminds me of a used condom coming out of this purse.The black slit in looks like an open mouth and the curves on the amorphous blue shape look like the purse is vomiting a blue cloud.The blue goo reminds me of someone putting melted stuff in my purse.
peter-blake_self-portrait-with-badges-1961,amusement,"He seems like a very devoted fan. good for him.This is like the typical american tourist visiting attractions.This is eerily reminiscent of a king of the hill character and pose.Odd and funny looking painting, colorful yet childlike."
peter-max_buddha-moon-monk-sunrise-1999,awe,"This is a lovely colorful and surreal picture.Totally in awe. the way the artist was able to blend the yellow and orange and red. beautiful.I love the circle in the middle, looks like the sun."
r.-b.-kitaj_dismantling-the-red-tent,fear,"A person or animal, presumably in an art gallery, is being dissected and dismembered on the floor.Feels hostile with the accusatory pointing.Close encounters of the red portal to hell scene.  their are witnesses that seem to expect what is happening."
robert-indiana_four-winds-from-1-cent-life-portfolio-1964,something else,Confusion. why are the numbers backwards & have arrows going in all sorts of directions?The arrows going in all different directions evoke a sense of chaos.All of the arrows going off in all different directions create a sense of feeling out of control.
robert-silvers_cover-for-life,awe,"The way the outline of the person in the cover is made up of many smaller covers is unique and feels clever.So many pictures making up a whole other picture is awe inspiring. it is quite impressive.The magazine covers coming together to make a face is a really neat touch.The total nu,ber of cover is impressive and reflects the past of the publication."
robert-silvers_diana,sadness,"Just another attempt to try to capture joy in the face of the tragic princess.I can't help but be sad when i look at a painting of princess diana, she was gone too soon.The hundreds of squares show lady d, who died tragically."
roy-lichtenstein_collage-for-nude-with-white-flower-1994(1),amusement,"This just looks comical. why is this woman talking on the phone naked holding a flower, like it's totally normal?Feels american-ish. just missing the red. love the contrasting textures and feel, although they don't make any sense why some have stripes and some dont. .I like the interesting comic book style and shading with the dots."
roy-lichtenstein_collage-for-reflections-on-hair-1989(1),anger,I felt angry that the patterns don't seem to align which is frustrating for someone who needs that to happen.I'm miffed i can't see the woman's face.I feel like there is something here that i would like to see but the center looks as if it's torn and i feel angry that i can't make it out.
roy-lichtenstein_mirror-1972(1),something else,"I have no feeling about this ,because it does not say anything its just plain.Not sure what to feel about this one. looks kinda retro. i'm half-expecting this to be used as someone's company logo. the shade of blue used is somewhat calming.A little nostogia, the print type remindsme of older comic book styles."
roy-lichtenstein_spray-1962,amusement,"I like the comic style of the image. it seems almost as if the person is spraying away something bad or evil instead of a beauty product.Funny thing for a painting, but its colors are nice and bright and the subject is understood.""bring out the lysol and don't forget to cover your mouth, please."".The type of art reminds me of vintage ad art."
saul-steinberg_untitled-1971,something else,"This painting is confusing with its boldness and color words.Nostalgic, it's been done in a very vintage style.This doesn't do much for me, but it does contain one of my pet peeves. why is green always included with primary colors? why is it never another color? i like the font type, but i don't really understand the cardboard textures, the stamps, or what the artist is trying to say about these colors. why is yellow the only one written in two colors? (wouldn't that make more sense for green?) why is red the base? why are red and blue the most prominent? i just don't understand this one."
tano-festa_il-peccato-originale,excitement,The colors and abstract brings something new.A different style of art used here which to me creates an adam and eve type illustration.This reminds me of the serpent tempting eve in the garden of eden.
tano-festa_le-dimensioni-del-cielo-n-5-1965,something else,"This painting does not make me feel anything. it looks like a puzzle, with the two pieces that fit in the blue field, but even with the pieces in place it would still not make any sense.I feel confused because of the mix of shapes and colors.The childlike blocks of spheres, triangles, cubes, and other basic shapes is amusing to view."
valerio-adami_a-midsummer-night-s-dream-1983,disgust,This ballet dancer is in hell and so is his dog.It's so bizzare and what is that dog doing?  it looks a bit obscene.It's disturbing that the dogs head is right near the naked privates of the man...I feel strange about the way the dog is reacting to the person's rear.
yayoi-kusama_dandelions-1985,excitement,"The yellow flowers popping out of the painting is very pretty and very cool under neither the strange background.Oh this reminds me of dandelions and i love dandelions. how fun.I'm inspired. nice flowers, makes me feel inspired to create something myself. good patterns."
albert-marquet_july-14th-at-havre-1906,excitement,"I like the foreign flag of france.The flags,bright colors, and hustle and bustle on the street convey a sense of activity and anticipation.The shapes are very clustered with bright colors."
albert-marquet_river-scene,awe,Very nice shading and contour.The reflection in the water of the landscape is very nice to look at.  i feel awe with many pictures based on nature.Nice fall day at the lake.
alexandre-benois_at-the-german-quarter-1911(3),awe,The parade is impressive and large.The place and the building looks amazing.The size and grandeur of the building and the number of people in in attendance are impressive and awe inspiring.It looks like a big house or building.
andrã©-lhote_mirmande-1932,awe,"Seeing the small village against the rural landscape is amazing and makes me think of what it would be like to live there.The colors are pretty neutral, and i imagine the views looking over the fields is amazing.,.The high angle we see the castle at inspires awe."
augustus-john_edwin-john-1927,something else,"Bordem, the man looks unhappy and mundane, the colors are so plain.The boy just read something thought-provoking.The painting makes me wonder what the man is looking so serious for."
charles-reiffel_holiday-mission-beach-1938,excitement,"The painting seems like a beach place.The beautiful painting looks beach place.It reminds me of vacation and the excitement of travel.The beach scene creates a feeling of the first day of summer.  i can almost smell the popcorn from the vendor in the foreground.I love the colors, the scene depicted, and the excitement of the people in the painting."
constantin-piliuta_nocturne-1973,amusement,"Looks like a child rendering.This painting just feels silly, like the ladies are crazy and lighthearted!The two ladies look like they're on some sort of drugs, or failing at dancing. the guy looks like he isn't amused. this is funny, to me.It's funny. looks like a blowup doll riding a horse. the woman is smiling at the man who is drinking."
constantin-piliuta_self-portrait,fear,The person looks angry and like they might be trying to hurt me.The man looks murderous and angry.The man looks angry and violent.An imposing face and figure and the paint strokes are unnerving.
david-burliuk_marusia-1,something else,Not disgusted but i have no appeal for these type of paintings.It makes me feel curious because of how her eyes seem so expressive.A serious woman wearing a blue shirt with a white neck.behind her there is a blue wall with some painting on it.
edouard-cortes_rue-royale-1,excitement,The bustling city street reminds me on new york city.These street scenes are exciting and fun to look at. this looks like washinton dc.The horses moving toward the viewer give an impression of an interesting event.
edouard-cortes_theatre-du-vaudeville-3,excitement,"I feel exciting, happiness of the carriages and the night light. this a place of peace and joyful times with the family.This water color of the city during a rainstorm reminds me of paris in the fall.A man standing in the corner. im excited."
emily-carr_indian-war-canoe-alert-bay-1912,amusement,"At first i thought it was a bright representation of noah ark but im not sure.The colors are cheerful, and the creature on the boat is unusual.The colors are bright and the boat has amusing creatures painted on it."
ferdynand-ruszczyc_pustka-stare-gniazdo-1901,fear,The wind strength shown by the trees blowing and the swirl of the clouds.The sky is ominous to me and it reminds me of storms when i was young.The dark landscape has a dystopian feel to me. the clouds look foreboding.
grace-cossington-smith_before-the-arches-met-1930,excitement,"The brightness of the colors bring the boat ride to life for me.Reminds me of summer, blue water, blue skies and boats with people going who knows where and without a care!Ive never seen anything like this, i like the simplicity, the use of dull but bold colors to depict industrialization."
henri-de-toulouse-lautrec_dr-tapie-celeyran-in-a-corridor-of-the-french-comedy-1894,amusement,"He hopes he has enough change to tip the coat check girl.The man looks soo funny with his fatty look and funny suits.The man with the tiny head on the giant body looks like someone switched his head with someone else's body.The guy kind of looks like hes about to cry but it's funny.The man looks very tall but disproportional with his suit on, and that is funny."
henri-martin_return-from-the-fields-1896,sadness,"The man looks sad and downtrodden. although there are nice flowers along where he is walking, he just looks down.The man is looking down at the ground as if he's sad about something.The man walking in the center looks like a man who has worked all day and made no money."
henri-matisse_auguste-pellerin-ii-1916,fear,"The dark eyes of the man with a very sharp beard and hands crossed gives the impression of intimidation and fear.Dark colors, scary looking man makes me scared.This man reminds me of a banker that is about to take all of your possessions."
henri-matisse_draped-nude,disgust,"I hate looking at naked women. i don't want to see a woman's boobs and fat sides.Not a flattering view or pose of a naked woman.Her face looks disgruntled and unhappy as she poses. the lines indicating her ribs look like rippled flesh or flabby, instead of slightly muscular."
horace-pippin_two-pink-roses-1940,something else,"I'm disappointed by the lack of detail in the flower stems, because their heads are so well drawn.I feel underwhelmed with this painting because of the lack of color and forms.The colors being used are dull and lifeless in the flower."
irma-stern_portrait-of-a-pondo-woman-1929,something else,"This is a meaningful image i am just not sure it is one i like the eyes do not look right to me and i am not sure i personally like the colors in the image.The face is interesting but the rest of the painting is confusing, as the shapes seem to be all inexplicably melting.She has lived many more years than her actual age."
